,software,categories
48,AIMLEAP Full-Stack Techies,"['Recruitment Agencies', 'On-Demand Staffing Services', 'Staffing Agencies']"
49,AINA Small Talk,['Push-To-Talk (PTT)']
50,AML Information Management (AMADAS),['Asset Performance Management']
51,AMZ Prep,['Third-Party Logistics']
52,ANTI-MONEY LAUNDERING,['Anti Money Laundering']
53,AOMEI Backupper,"['PC Backup', 'Hard Drive Cloning', 'Online Backup', 'Server Backup']"
54,"APARAVI, Data Intelligence \u0026 Automation Platform","['Sensitive Data Discovery', 'Enterprise Search Software', 'Big Data Processing and Distribution']"
55,APBackup,['PC Backup']
56,APIANT,"['Integration Brokerage', 'E-Commerce Data Integration', 'Continuous Integration', 'On-Premise Data Integration', 'iPaaS']"
57,APISCRAPY,"['Data Extraction', 'Data Labeling', 'Machine Learning', 'Image Recognition']"
58,APOS Live Data Gateway,['SAP Store']
59,APPSeCONNECT,"['SAP Store', 'E-Commerce Data Integration', 'iPaaS', 'API Management', 'Business Process Management', 'Electronic Data Interchange (EDI)', 'Embedded Integration Platforms']"
60,APTANIA,"['Digital Analytics', 'Product Analytics']"
61,ARCON | Privileged Access Management (PAM),['Privileged Access Management (PAM)']
62,ARCOS Utility Insight,['Data Visualization']
63,ARIES Petroleum Economics and Reserves Software,['Oil and Gas Project Management']
64,ARMS,['Police Records Management System (RMS)']
65,ARTIK Cloud,"['IoT Development Tools', 'C/C++ Integrated Development Environments (IDE)', 'Python Integrated Development Environments (IDE)', 'Java Integrated Development Environments (IDE)']"
66,ASC Documents,['Document Creation']
67,ASINASIN,['Online Marketplace Optimization Tools']
68,ASNA DataGate,['Database Security']
69,ASO Tools,['App Store Optimization']
70,ASPEN-RMS,['Police Records Management System (RMS)']
71,ATLAS.ti,"['Data Visualization', 'Analytics Platforms', 'Text Analysis']"
72,ATLOS,['Loan Origination']
73,AT\u0026T Enhanced Push-to-Talk,"['Push-To-Talk (PTT)', 'Business Instant Messaging']"
74,AVEVA Enterprise Resource Management (ERM),['Oil and Gas Project Management']
75,AVG File Server Edition,['Antivirus']
76,AVL Concerto,['Other Analytics']
77,AWS Adapter for OIC,['Tools for ERP']
78,AWS Adapter for SAP Process Orchestration and SAP Integration Suite,"['Tools for ERP', 'SAP Store']"
79,AWS AppSync,['API Design']
80,AWS Application Discovery Service,['On-Premise Data Integration']
81,AWS Connected Vehicle Solution,['Connected Car']
82,AWS Cost and Usage Report,['Cloud Cost Management']
83,AWS Data Exchange,['Data Exchange Platforms']
84,AWS DataSync,"['Cloud Migration', 'File Migration', 'Data Replication']"
85,AWS Database Migration Service,"['ETL Tools', 'Cloud Migration', 'Data Replication']"
86,AWS Deep Learning AMIs,"['Other IT Infrastructure', 'AWS Marketplace', 'Artificial Neural Network']"
87,AWS Direct Connect,['Virtual Private Servers (VPS)']
88,AWS Glue,"['AWS Marketplace', 'Data Replication', 'Data Virtualization', 'Data Preparation', 'Machine Learning Data Catalog', 'Big Data Integration Platforms', 'ETL Tools']"
89,AWS Glue Connector for Google BigQuery,['AWS Marketplace']
90,AWS Greengrass,"['IoT Edge Platforms', 'IoT Development Tools']"
91,AWS Ground Station,['Other IT Management']
92,AWS Import/Export Snowball,"['ETL Tools', 'Cloud Migration']"
93,AWS IoT Analytics,['IoT Analytics Platforms']
94,AWS IoT SiteWise,"['Industrial IoT', 'IoT Analytics Platforms']"
95,AWS Lake Formation,"['Big Data Processing and Distribution', 'Big Data Integration Platforms']"
96,AWS Outposts,['Rack Servers']
97,AWS PrivateLink,"['Virtual Private Cloud (VPC)', 'Cloud Data Security']"
98,AWS Reserved Instance Reporting,['Other IT Management']
99,AWS Secrets Manager,"['Privileged Access Management (PAM)', 'Secrets Management Tools']"
100,AWS Serverless Application Repository,['Cloud Platform as a Service (PaaS)']
101,AWS Service Catalog,['Enterprise IT Management']
102,AWS Snowball,['IoT Edge Platforms']
103,AWS Snowball Edge,['On-Premise Data Integration']
104,AWS Snowmobile,['On-Premise Data Integration']
105,AWS Systems Manager,['Enterprise IT Management']
106,AWS Training and Certification,['Virtual IT Labs']
107,AWS Trainium,['Data Science and Machine Learning Platforms']
108,AYLIEN News API,"['Media Monitoring', 'Web Data Providers']"
109,Aaameet.in,['Video Conferencing']
110,Ab Initio,"['ETL Tools', 'Data Mapping']"
111,Abacum,"['Budgeting and Forecasting', 'Corporate Performance Management (CPM)', 'Financial Analysis']"
112,Abla Analytics,['Digital Analytics']
113,Absolute Reports,['Market Research Services']
114,Absolute Secure Access,"['Software-Defined Perimeter (SDP)', 'Zero Trust Networking', 'Business VPN', 'Digital Employee Experience (DEX) Management']"
115,Absolute Secure Endpoint,"['Endpoint Protection Suites', 'Endpoint Management', 'Unified Endpoint Management (UEM)', 'Endpoint Protection Platforms']"
116,Abyssale,"['Creative Management Platforms', 'Content Creation']"
117,AcaStat,['Statistical Analysis']
118,Acadle,"['Corporate Learning Management Systems', 'Customer Education']"
119,Acceldata,"['Database Monitoring', 'Data Observability']"
120,Accenture HR Audit and Compliance as-a-service,['SAP Store']
121,Accenture HR Data Loader,['SAP Store']
122,Access Workspace,['Core HR']
123,Accio Enterprise,['Background Check']
124,Acclaim Projects by Sopheon,['Project Management']
125,Accomplish EP,"['Time \\u0026 Attendance', 'Benefits Administration', 'Core HR', 'Payroll', 'Performance Management', 'Employee Engagement']"
126,Accops HyWorks,['Server Virtualization']
127,Accord - Affordable Care Act (ACA) Compliance Software,"['Other HR', 'Healthcare Compliance']"
128,AccuMail Frameworks,"['Other Email', 'Address Verification']"
129,AccuStore Task Management,['Retail Task Management']
130,Accumulo,"['Key Value Databases', 'Wide Column Database']"
131,Ace Cloud Application Hosting,['Cloud Hosting']
132,Ace Data Devices,"['Online Backup', 'Database Backup', 'Server Backup', 'PC Backup', 'Disaster Recovery as a Service (DRaaS)', 'Archive Storage Solutions']"
133,Ace Metrix,"['Content Marketing Agencies', 'Marketing Strategy', 'Digital Marketing']"
134,Ace Turtle,['Omnichannel Commerce']
135,Achieve,['Academic Advising']
136,Acho,['Data Warehouse']
137,Acme AI,['Data Labeling Services']
138,Acodis,"['OCR', 'Text Analysis', 'Data Extraction', 'Intelligent Document Processing (IDP)']"
139,Acquia Customer Data Platform,"['Customer Journey Mapping', 'Personalization Engines', 'Digital Experience Platforms (DXP)', 'Customer Journey Analytics', 'Customer Data Platform (CDP)', 'Digital Asset Management', 'Marketing Automation']"
140,Acronis Cyber Protect (includes all features of Acronis Cyber Backup),"['Patch Management', 'Endpoint Management', 'Antivirus', 'Data Replication', 'Disaster Recovery', 'Online Backup', 'Server Backup', 'File Recovery']"
141,Acronis Cyber Protect Cloud,"['Cloud Data Security', 'Server Backup', 'SaaS Backup', 'Patch Management', 'Endpoint Detection \\u0026 Response (EDR)', 'Cloud Email Security']"
142,Acronis Cyber Protect Home Office (formerly Acronis True Image),"['Hard Drive Cloning', 'Online Backup', 'PC Backup']"
143,Acronis Disk Director,"['Hard Drive Cloning', 'Hard Drive Partitioning']"
144,Acryl Data,['Data Governance']
145,Acterys,"['Corporate Performance Management (CPM)', 'Budgeting and Forecasting']"
146,Actian Data Platform,['Data Warehouse']
147,Actian DataConnect,"['iPaaS', 'ETL Tools', 'On-Premise Data Integration']"
148,Actian NoSQL,['Object-Oriented Databases']
149,Actian X,['Database Management Systems (DBMS)']
150,Actian Zen,['Relational Databases']
151,Actifio,"['Build Automation', 'Database Management Systems (DBMS)']"
152,ActionIQ,['Customer Data Platform (CDP)']
153,Actito,"['Marketing Platforms', 'E-Commerce Personalization', 'Marketing Analytics', 'Marketing Automation', 'Customer Data Platform (CDP)', 'Personalization', 'Personalization Engines', 'Mobile Marketing']"
154,Activ Select,['GRC Tools']
155,Activation Studio,"['Lead Scoring', 'Salesforce AppExchange Apps', 'Customer Data Platform (CDP)']"
156,Active KillDisk,['Data Destruction']
157,Active Query Builder,['Component Libraries']
158,Active Trader Pro,['Brokerage Trading Platforms']
159,Active@Disk Image,"['Hard Drive Cloning', 'File Recovery']"
160,ActiveBatch Workload Automation,"['Data Warehouse Automation', 'Workload Automation', 'Managed File Transfer (MFT)']"
161,ActivePrime,['Data Quality']
162,Acuative,"['Unified Communication VARs', 'IT Infrastructure Utility Services', 'Managed IT Services', 'Cloud Migration Services', 'Managed Security Services (MSSP)', 'Cisco Unified Communications Resellers', 'Cisco Hardware Resellers', 'Cisco Data Center Resellers', 'Cisco Cloud Resellers', 'Cybersecurity Consulting', 'Management Consulting', 'IT Outsourcing', 'Managed Services', 'Managed IoT Services']"
163,Ad Astra,['Academic Scheduling']
164,AdLib DSP,"['Data Management Platform (DMP)', 'Demand Side Platform (DSP)', 'Digital Audio Advertising', 'Video Advertising', 'Cross-Channel Advertising']"
165,AdStage for G Suite,['Google Workspace for Marketing']
166,AdSystem,['CRM']
167,AdValue,['Project Management Tools']
168,Adalyz,"['Affiliate Marketing', 'Marketing Analytics']"
169,Adaptive,['ERP Systems']
170,Adastra,"['IBM Consulting Services', 'AWS Consulting Services', 'Google Consulting Services', 'Oracle Consulting Services', 'Microsoft Consulting Services', 'IoT Implementation Services', 'IoT Consulting Services', 'Software Developer Services', 'Data Governance Services', 'Managed IT Services', 'Cloud Migration Services', 'Artificial Intelligence Consulting', 'Supply Chain Strategy and Operations Consulting', 'Amazon Web Services Channel Partners', 'Testing and QA', 'IT Strategy Consulting', 'Digital Transformation Consulting', 'Cloud Consulting', 'Business Intelligence (BI) Consulting', 'IT Outsourcing', 'Robotic Process Automation (RPA) Consultancy Services']"
171,Addend Analytics,"['Microsoft Dynamics 365 Business Central Resellers', 'Microsoft Consulting Services', 'Microsoft Dynamics NAV Resellers']"
172,Address Validator,['Address Verification']
173,AddressZen Address Lookup,['Address Verification']
174,Adele,"['Location Intelligence', 'Digital Twin']"
175,Adeona PIM,['Product Information Management (PIM)']
176,Adept Dynamics,"['Microsoft Consulting Services', 'Business Intelligence (BI) Consulting', 'Digital Transformation Consulting']"
177,Adform Creative Management Platform (Ad Server),['Publisher Ad Server']
178,Adform Integrated Advertising Platform,"['Cross-Channel Advertising', 'Demand Side Platform (DSP)', 'Video Advertising', 'Mobile Advertising', 'Display Advertising', 'Supply Side Platform (SSP)', 'Data Management Platform (DMP)', 'Publisher Ad Server']"
179,Admers,['Marketing Analytics']
180,Admetricks,['Digital Advertising Intelligence']
181,Admin,['Mobile Device Management (MDM)']
182,Admixer.DSP,['Demand Side Platform (DSP)']
183,Adobe Audience Manager,['Data Management Platform (DMP)']
184,Adobe PDF Library by Datalogics,['PDF SDKs']
185,Adsquare,"['Mobile Advertising', 'Mobile Marketing', 'Location Platform']"
186,Advance Practice Management Suite,['Accounting Practice Management']
187,AdvanceFlow,['Financial Audit']
188,Advanced Installer,['Repository Management']
189,Advanced Query Tool,['Database Management Systems (DBMS)']
190,Advanced Web Ranking,['SEO Tools']
191,AdvancedMiner,['Other Analytics']
192,Advantage Database Server,"['Relational Databases', 'Database Management Systems (DBMS)']"
193,Adverity,"['SAP Store', 'Big Data Integration Platforms', 'E-Commerce Data Integration', 'ETL Tools', 'Google Workspace for Marketing', 'Marketing Analytics', 'Digital Analytics']"
194,AdvizorPro,['Other Finance \\u0026 Insurance']
195,Aeqium,['Compensation Management']
196,Aeries Analytics,['Other Education']
197,Aeries CARS,"['Mechanical Computer-aided Design (MCAD)', 'Building Design and Building Information Modeling (BIM)', 'Product Data Management (PDM)']"
198,Aerospike,"['Key Value Databases', 'Real-time Analytic Database', 'Document Databases', 'Graph Databases', 'Database Management Systems (DBMS)', 'Time Series Databases', 'Big Data Processing and Distribution']"
199,Affinda,['OCR']
200,Affinitext,"['Contract Analytics', 'Contract Management']"
201,Affino CRM,"['Email Marketing', 'CRM']"
202,Affise,"['Affiliate Marketing', 'Partner Management', 'Digital Analytics']"
203,Affogata,"['Competitive Intelligence', 'Media Monitoring', 'Social Media Listening Tools', 'Audience Intelligence Platforms']"
204,Afforai,"['AI Chatbots', 'Natural Language Understanding (NLU)']"
205,Ag Grid,['JavaScript Web Frameworks']
206,Again Again Agency,['Digital Marketing']
207,Agency,"['Endpoint Protection Suites', 'Employee Identity Theft Protection']"
208,AgencyAnalytics,"['Marketing Analytics', 'SEO Tools', 'Data Visualization']"
209,AgencyOrganizer,['CRM']
210,Agenda,['Other Reservations']
211,Agentnoon,"['Workforce Planning', 'Org Chart', 'Workforce Management']"
212,AggreGate,"['IoT Device Management Platforms', 'IoT Analytics Platforms']"
213,Aggua,"['Active Metadata Management', 'DataOps Platforms', 'Data Fabric', 'Data Mapping', 'Data Governance', 'Machine Learning Data Catalog', 'Data Quality']"
214,Agicap,"['Cash Flow Management', 'Accounts Receivable', 'Accounts Payable (AP) and Spend Analysis']"
215,AgilerMe,['Other Agriculture']
216,Agilio OVS Firewall,"['Firewall Software', 'Data Center Security Solutions']"
217,Agility PR Solutions,"['Media Monitoring', 'Media and Influencer Targeting', 'PR Analytics', 'Press Release Distribution']"
218,Agilysys DataMagine,['Cloud Content Collaboration']
219,Agisoft PhotoScan,['Photogrammetry']
220,Agni Link CAD/PDM/PLM-to-ERP Data Integration System,"['CAD Data Exchange', 'General-Purpose CAD']"
221,Ahshay,['Insurance Claims Management']
222,AiPortal,['AI Image Generators']
223,Aibidia TXM,['Other Finance \\u0026 Admin.']
224,AidaForm,"['Online Form Builder', 'Lead Capture', 'Survey']"
225,AirCheck Wi-Fi Tester for Android,['Mobile Data Security']
226,AirData,['Aviation MRO']
227,AirVantage IoT Platform,"['IoT Device Management Platforms', 'IoT Connectivity Management']"
228,Airapi,"['Banking as a Service (BaaS)', 'Financial Data APIs']"
229,Airbyte,['ETL Tools']
230,Aircloak Insights,['Data De-Identification']
231,Aircraft Cost Calculator,['Aviation MRO']
232,Airmeet,"['Virtual Event Platforms', 'Event Networking and Matchmaking', 'Webinar', 'Mobile Event Apps', 'Event Registration \\u0026 Ticketing', 'Event Management Platforms', 'Event Marketing']"
233,AirportTransfer.com,['Other Transportation']
234,Airslip,['Financial Data APIs']
235,Airstory,['Note-Taking Management']
236,Aiseesoft MobieSync,['Other IT Management']
237,Aisera,"['Proactive Customer Retention', 'Intelligent Virtual Assistants', 'AIOps Platforms', 'Chatbots', 'Customer Self-Service', 'Enterprise Search Software']"
238,Aiven for Apache Cassandra,['Database as a Service (DBaaS)']
239,Aiven for PostgreSQL,"['Database Management Systems (DBMS)', 'Relational Databases']"
240,Akamai DNSi Big Data Connector,['Big Data Integration Platforms']
241,Akamai DataStream,['Stream Analytics']
242,Akamai Enterprise Application Access,"['Zero Trust Networking', 'Single Sign-On (SSO)', 'Cloud Access Security Broker (CASB)']"
243,Akamai Enterprise Threat Protector,"['Cloud Workload Protection Platforms', 'User and Entity Behavior Analytics (UEBA)', 'DNS Security Solutions']"
244,Akamai IoT Edge Connect,['IoT Edge Platforms']
245,Akamai Prolexic Routed,['DDoS Protection']
246,Akeneo PIM,"['Product Information Management (PIM)', 'Master Data Management (MDM)', 'Catalog Management', 'SAP Store']"
247,Akkio,"['Data Science and Machine Learning Platforms', 'Predictive Analytics']"
248,Akku,"['Cloud File Security', 'Cloud Compliance', 'Business Continuity Management', 'Risk-Based Authentication (RBA)', 'Identity and Access Management (IAM)', 'User Provisioning and Governance Tools']"
249,Akto,"['API Security', 'Other IT Management', 'Dynamic Application Security Testing (DAST)', 'Interactive Application Security Testing (IAST)']"
250,Alation,"['Active Metadata Management', 'Data Governance', 'Machine Learning Data Catalog']"
251,Alavi.ai,['Other Marketing']
252,Albacross,"['Account-Based Advertising', 'Lead Capture', 'Buyer Intent Data Providers', 'Account-Based Analytics', 'Marketing Analytics', 'Lead Mining', 'Visitor Identification']"
253,Albatross Cloud,"['Desktop as a Service (DaaS)', 'Managed Hosting']"
254,Alchemer Survey,['Survey']
255,Alchemy Cloud,"['LIMS', 'Electronic Lab Notebook (ELN)']"
256,Alcion Backup for Microsoft 365,['SaaS Backup']
257,AlgoDocs,"['OCR', 'Intelligent Document Processing (IDP)']"
258,AlgosOne,"['Brokerage Trading Platforms', 'Financial Predictive Analytics']"
259,Alibaba ApsaraDB RDS for MySQL,"['Database Monitoring', 'Database Security', 'Document Databases', 'Relational Databases', 'Database as a Service (DBaaS)', 'Key Value Databases']"
260,Alibaba Cloud CDN,['Content Delivery Network (CDN)']
261,Alibaba Data Integration,"['iPaaS', 'Data Exchange Platforms']"
262,Alibaba Distributed Relational Database Service,"['Database as a Service (DBaaS)', 'Relational Databases']"
263,Alibaba Elastic Compute Service,"['Infrastructure as a Service (IaaS)', 'Virtual Private Cloud (VPC)']"
264,Alibaba Key Management Service,['Encryption Key Management']
265,Alibaba MaxCompute,['Big Data Processing and Distribution']
266,Alibaba Message Service,['Message Queue (MQ)']
267,Alibaba Object Storage Service,['Object Storage Solutions']
268,Alibaba Web Application Firewall,['Web Application Firewall (WAF)']
269,Align.ly Attribution,"['Attribution', 'Account-Based Analytics', 'Account Data Management', 'Salesforce AppExchange Apps']"
270,All in One WP Migration,['Other Development']
271,AllVoices,"['Employee Engagement', 'HR Case Management', 'Whistleblowing']"
272,Allegro Design Entry Capture/Capture CIS,['PCB Design']
273,Allegro PSpice Simulator,['PCB Design']
274,Allegro Sigrity SI Base,['PCB Design']
275,Allegro library,"['Gaming Tools', 'Audio Engine']"
276,Alliance Imager,['Document Creation']
277,Allo,['Construction Data Analytics']
278,Alloy,"['Financial Risk Management', 'Financial Data APIs', 'Identity Verification']"
279,Alloy Automation,"['Embedded Integration Platforms', 'iPaaS', 'ETL Tools', 'Unified APIs']"
280,Alloy.ai,"['Demand Planning', 'Retail Analytics']"
281,Allstacks,"['Software Development Analytics Tools', 'Strategic Planning and Execution', 'Value Stream Management']"
282,Alma SIS,['K-12 Student Information Systems']
283,Alooba,['Technical Skills Screening']
284,Alpha Anywhere,"['Application Development Platforms', 'Mobile Forms Automation', 'Mobile Development Platforms', 'Low-Code Development Platforms', 'No-Code Development Platforms']"
285,Alpha Portal,['Foodservice Distribution']
286,AlphaSense,"['Financial Research', 'Market Intelligence', 'Media Monitoring', 'Cloud Content Collaboration', 'Enterprise Search Software', 'AI Chatbots']"
287,Alpine Achievement: Data Analysis System,['K-12 Student Information Systems']
288,AltSource,"['Cross-Platform Developers', 'Android Developers', 'iOS Developers', 'Windows Developers', 'Internet of Things (IoT) Developers', '.NET Developers', 'JavaScript Developers', 'Java Development', 'Node.js Developers', 'Sitecore Developers', 'PHP Developers', 'Digital Transformation Consulting', 'Contact Center Consulting', 'Cloud Consulting', 'IT Strategy Consulting', 'IoT Consulting Services']"
289,AltText.ai,['SEO Tools']
290,Alta AI,['Chatbots']
291,AltaPoint,['Veterinary Practice Management']
292,Altair Monarch,"['Data Preparation', 'Data Extraction']"
293,Altair RapidMiner,"['Text Analysis', 'Data Science and Machine Learning Platforms', 'Predictive Analytics', 'Analytics Platforms']"
294,Altera Digital Health - EHR,['EHR']
295,Alteria Agency,['Software Developer Services']
296,Alteryx,"['Data Preparation', 'Location Intelligence', 'Big Data Analytics', 'Data Science and Machine Learning Platforms', 'Predictive Analytics', 'Analytics Platforms']"
297,Altibase HDB,['Relational Databases']
298,Altium 365,"['PCB Design', 'Product Data Management (PDM)', 'Mechanical Computer-aided Design (MCAD)']"
299,Altova DatabaseSpy,['Database Comparison']
300,Altova MissionKit,['XML Databases']
301,Altvia,"['Financial Services CRM', 'Financial Analysis', 'Financial Analytics', 'Virtual Data Room']"
302,Alumio,['iPaaS']
303,Amaka,['E-Commerce Data Integration']
304,Amalia,['Sales Compensation']
305,AmazingHiring,"['Diversity Recruiting', 'Recruiting Automation', 'Talent Intelligence']"
306,Amazon AWS Platform,['Data Integration Tools']
307,Amazon AppFlow,['Other IT Infrastructure']
308,Amazon Athena,"['Database as a Service (DBaaS)', 'Database Management Systems (DBMS)']"
309,Amazon Aurora,"['Database as a Service (DBaaS)', 'Relational Databases']"
310,Amazon Cloud Directory,['Cloud Directory Services']
311,Amazon CloudFront,['Content Delivery Network (CDN)']
312,Amazon DocumentDB,"['Database as a Service (DBaaS)', 'Document Databases']"
313,Amazon DynamoDB,"['Document Databases', 'Database as a Service (DBaaS)', 'Key Value Databases']"
314,Amazon DynamoDB Accelerator (DAX),['Web Server Accelerator']
315,Amazon EMR,['Big Data Processing and Distribution']
316,Amazon ElastiCache,"['Database as a Service (DBaaS)', 'Data Replication', 'Key Value Databases']"
317,Amazon FSx for Lustre,['Cloud File Storage']
318,Amazon Keyspaces,['Wide Column Database']
319,Amazon Kinesis Data Analytics,"['Event Stream Processing', 'Stream Analytics']"
320,Amazon Kinesis Data Firehose,"['Stream Analytics', 'Event Stream Processing', 'ETL Tools']"
321,Amazon Kinesis Data Streams,"['Event Stream Processing', 'Stream Analytics']"
322,Amazon Kinesis Video Streams,['Other Video']
323,Amazon Lightsail,"['AWS Marketplace', 'Object Storage Solutions', 'Load Balancing', 'Database as a Service (DBaaS)', 'Virtual Private Servers (VPS)', 'Block Storage']"
324,Amazon Macie,['Security and Privacy Services']
325,Amazon Managed Streaming for Apache Kafka (Amazon MSK),"['Event Stream Processing', 'Stream Analytics']"
326,Amazon Marketing Cloud,['Data Clean Room']
327,Amazon Neptune,"['Graph Databases', 'Database as a Service (DBaaS)']"
328,Amazon Quantum Ledger Database (QLDB),['Database as a Service (DBaaS)']
329,Amazon QuickSight,"['Embedded Business Intelligence', 'Analytics Platforms', 'Predictive Analytics']"
330,Amazon Redshift,"['Columnar Databases', 'Data Warehouse', 'Big Data Integration Platforms']"
331,Amazon Relational Database Service (RDS),"['Database as a Service (DBaaS)', 'Relational Databases']"
332,Amazon S3 Glacier,"['Archive Storage Solutions', 'Object Storage Solutions']"
333,Amazon SageMaker,"['MLOps Platforms', 'Data Science and Machine Learning Platforms']"
334,Amazon Simple Queue Service (SQS),['Proactive Notification']
335,Amazon Simple Storage Service (S3),['Object Storage Solutions']
336,Amazon Textract,"['OCR', 'Intelligent Document Processing (IDP)']"
337,Amazon Timestream,"['Time Series Databases', 'Database as a Service (DBaaS)']"
338,Amazon WorkDocs,['Document Databases']
339,Amazon WorkLink,['Mobile Data Security']
340,Amber Engine,['Product Information Management (PIM)']
341,AmberLeaf,"['Other Marketing Services', 'Business Intelligence (BI) Consulting']"
342,Ambire AdEx (formerly AdEx Network),['Ad Network']
343,Ambra Health,['Radiology Information Systems']
344,AmigoCloud,['Location Intelligence']
345,Amobee,"['Cross-Channel Advertising', 'Demand Side Platform (DSP)', 'Display Advertising', 'Mobile Advertising', 'Social Media Advertising', 'Video Advertising', 'Data Management Platform (DMP)']"
346,Amperity,"['Customer Data Platform (CDP)', 'Identity Resolution']"
347,AmplifAI,"['Data Visualization', 'Gamification', 'Contact Center Workforce', 'Contact Center Quality Assurance', 'Sales Performance Management']"
348,Amplify Platform,"['API Management', 'API Marketplace', 'Financial Data APIs']"
349,Ampliz APAC Intelligence,['Sales Intelligence']
350,Anaconda,['Data Science and Machine Learning Platforms']
351,Analance™ Advanced Analytics,"['Predictive Analytics', 'Analytics Platforms', 'Data Science and Machine Learning Platforms']"
352,Analytics Canvas,['Other Analytics']
353,Analytics4now,['Digital Analytics']
354,AnalyticsBox,['Other Analytics']
355,AnalyticsCreator,['Data Warehouse Automation']
356,AnalyticsVerse,['Software Development Analytics Tools']
357,AnalytixLabs Gurgaon,['Other B2B Services']
358,Anchanto Warehouse Management,['Warehouse Management']
359,Anchor Computer,['Address Verification']
360,Angles Enterprise for Oracle,"['ETL Tools', 'Data Mapping', 'Data Warehouse', 'On-Premise Data Integration']"
361,Ango Hub,['Data Labeling']
362,Angular,"['PHP Integrated Development Environments (IDE)', 'JavaScript Web Frameworks', 'PHP Web Frameworks']"
363,Annoy,['Machine Learning']
364,Anomalo,"['Data Quality', 'Data Observability', 'Database Monitoring']"
365,Anonos Data Embassy,['Data De-Identification']
366,Ansarada,"['Virtual Data Room', 'Legal Transaction Management']"
367,AnswerDock,"['Embedded Business Intelligence', 'Analytics Platforms']"
