,category
130,Mixed Mode ERP
131,Professional Services Automation
132,"Project, Portfolio &amp; Program Management"
133,Accounting
134,Accounts Receivable
135,AP Automation
136,Billing
137,CMMS
138,Corporate Performance Management (CPM)
139,Enterprise Asset Management (EAM)
140,Financial Close
141,Invoice Management
142,Travel &amp; Expense
143,Anti Money Laundering
144,Audit Management
145,Enterprise Risk Management (ERM)
146,Ethics and Compliance Learning
147,Policy Management
148,Third Party &amp; Supplier Risk Management
149,Content Delivery Network (CDN)
150,Domain Registration
151,Enterprise Content Delivery Network (eCDN)
152,Managed DNS Providers
153,Web Hosting
154,Human Resource Management Systems
155,Core HR
156,Benefits Administration
157,Workforce Management
158,Time Tracking
159,Staffing
160,Employee Monitoring
161,Video Interviewing
162,Performance Management
163,Employee Engagement
164,Compensation Management
165,Employee Recognition
166,Job Search Sites
167,Corporate Learning Management Systems
168,Recruitment Marketing
169,Applicant Tracking Systems (ATS)
170,Course Authoring
171,Learning Experience Platforms (LXP)
172,Infrastructure as a Service (IaaS)
173,AIOps Platforms
174,Blockchain
175,Database Software
176,Data Integration Tools
177,Data Warehouse
178,Load Balancing
179,Master Data Management (MDM)
180,Monitoring
181,Storage Management
182,Virtual Desktop Infrastructure (VDI)
183,Virtual Private Cloud (VPC)
184,Cloud Management Platforms
185,Data Recovery
186,Enterprise IT Management
187,Enterprise Mobility Management
188,Incident Management
189,IT Asset Management
190,Mobile Device Management (MDM)
191,Process Automation
192,Service Desk
193,Workload Automation
194,Document Creation
195,Meeting Room Booking Systems
196,Presentation
197,Survey
198,Cloud Security
199,System Security
200,Application Security
201,Confidentiality
202,Data Security
203,Email Security
204,Endpoint Protection
205,Identity Management
206,Network Security
207,Vulnerability Management
208,Web Security
209,Log Analysis
210,Software Composition Analysis
211,Demand Planning
212,Shipping
213,Fleet Management
214,Transportation Management Systems (TMS)
215,Construction
216,Education
217,Financial Services
218,Health Care
219,Legal
220,Nonprofit
221,Transportation
222,Other Religious Institutions
223,Business Filing and Licensing
224,Business Finance
225,HR Services
226,Legal Services
227,Management Consulting
228,Sales Consulting
229,Sales Training
230,Adobe Consulting Services
231,AWS Consulting Services
232,Braze Consulting Services
233,Ceridian Consulting Services
234,Citrix Consulting Services
235,Genesys Consulting Services
236,Google Consulting Services
237,HubSpot Consulting Services
238,IBM Consulting Services
239,Infor Consulting Services
240,Microsoft Consulting Services
241,NetSuite Consulting Services
242,Oracle Consulting Services
243,Salesforce Consulting Services
244,SAP Consulting Services
245,ServiceNow Consulting Services
246,UKG Consulting Services
247,Workday Consulting Services
248,Branding Agencies
249,Event Management Services
250,Inbound Marketing
251,Lead Generation Services
252,Marketing Automation Consulting
253,Marketing Strategy
254,Outbound Marketing
255,PR Firms
256,Reputation Management Services
257,IT Outsourcing
258,"ITSM Tool Implementation, Consulting, and Managed Services"
259,Other B2B Services
260,Cloud Migration Services
261,Development Services
262,Implementation Services
263,Managed IT Services
264,Managed Services
265,Solution Consulting
266,Application Security Services
267,Data Security Services
268,Email Security Services
269,Endpoint Security Services
270,Incident Response Services
271,IoT Security Services
272,IT Compliance Services
273,Network Security Services
274,Threat Hunting Services
275,Threat Intelligence Services
276,Vulnerability Assessment Services
277,On-Demand Staffing Services
278,Other Staffing Services
279,Recruitment Agencies
280,Staffing Agencies
281,Closed Captioning Services
282,Interpretation
283,Localization Services
284,Multilingual Desktop Publishing
285,Transcription Services
286,Translation
287,Acumatica Channel Partners
288,Adobe Channel Partners
289,Autodesk Channel Partners
290,Cisco Channel Partners
291,Deltek Channel Partners
292,Epicor Channel Partners
293,Infor Channel Partners
294,Microsoft Channel Partners
295,Oracle Channel Partners
296,Other VARs
297,Qlik Channel Partners
298,Sage Channel Partners
299,Salesforce Channel Partners
300,SAP Channel Partners
301,Retail Analytics
302,Other Analytics
303,Other Development
304,User Research Repositories
305,Data De-Identification
306,Data Masking
307,Relational Databases
308,Desktop Database
309,Financial Analytics
310,Real-time Analytic Database
311,Vector Database
312,Time Series Databases
313,Big Data Processing and Distribution
314,Big Data Analytics
315,Database as a Service (DBaaS)
316,Other Recruiting
317,Data Breach Notification
318,Analytics Platforms
319,Brokerage Trading Platforms
320,Service Virtualization
321,Continuous Integration
322,WordPress Management Tools
323,AWS Marketplace
324,Data Governance
325,Machine Learning Data Catalog
326,Freight Management
327,Supply Chain Visibility
328,Remote Support
329,Webinar
330,Online Community Management
331,Virtual Event Platforms
332,Screen Sharing
333,Salesforce AppExchange Apps
334,Asset Performance Management
335,Online Backup
336,ETL Tools
337,On-Premise Data Integration
338,iPaaS
339,Reverse ETL
340,Real Estate Investment Management
341,Property Intelligence
342,Data Quality
343,Publisher Ad Server
344,Component Content Management Systems
345,Financial Services CRM
346,Child Care
347,Marina Management
348,Waste Management
349,Police Records Management System (RMS)
350,LIMS
351,Electronic Lab Notebook (ELN)
352,Scientific Data Management System (SDMS)
353,Pharma and Biotech
354,Healthcare Commercial Intelligence
355,Healthcare Payer Care Management Workflow Applications
356,Provider Data Management (PDM)
357,Healthcare Compliance
358,Customer Journey Analytics
359,AI Sales Assistant
360,Buyer Intent Data Providers
361,Robotic Process Automation (RPA)
362,Synthetic Data
363,Data Extraction
364,File Migration
365,Talent Intelligence
366,Address Verification
367,Real Estate Activities Management
368,Brokerage Management
369,Data Visualization
370,Competitive Intelligence
371,Digital Customer Onboarding
372,Through-Channel Marketing
373,Diversity Recruiting
374,Recruiting Automation
375,Freelance Platforms
376,Contractor Management
377,Business Instant Messaging
378,Payment Processing
379,File Converter
380,Location Intelligence
381,Chatbots
382,Low-Code Development Platforms
383,IT Service Management (ITSM) Tools
384,Business Process Management
385,Cloud File Security
386,Cloud Data Security
387,Cloud Workload Protection Platforms
388,Privileged Access Management (PAM)
389,Identity and Access Management (IAM)
390,User Provisioning and Governance Tools
391,Self-Service Password Reset (SSPR)
392,Field Service Management
393,Other Video
394,Other CAD
395,Social Media Analytics
396,Donor Management
397,Fundraising
398,Nonprofit CRM
399,IoT Device Management Platforms
400,IoT Connectivity Management
401,E-Commerce Analytics
402,Sales Tax and VAT Compliance
403,Corporate Tax
404,IoT Platforms
405,Google Workspace Office Tools
406,Google Workspace Administration
407,Google Workspace for Marketing
408,Lead Capture
409,Continuous Delivery
410,Personalization Engines
411,App Monetization Platforms
412,Sales Performance Management
413,Insurance Agency Management Systems
414,Data Science and Machine Learning Platforms
415,Document Databases
416,Digital Marketing
417,Traditional Advertising
418,Email Marketing Services
419,Mobile Development Frameworks
420,JavaScript Web Frameworks
421,Component Libraries
422,Stream Analytics
423,Audience Intelligence Platforms
424,XML Databases
425,Enterprise Information Archiving
426,Enterprise Monitoring
427,Database Monitoring
428,Digital Experience Monitoring (DEM)
429,Cloud Infrastructure Monitoring
430,IT Alerting
431,Container Monitoring
432,Application Performance Monitoring (APM)
433,Database Management Systems (DBMS)
434,HR Analytics
435,Trucking
436,Big Data Integration Platforms
437,Data Fabric
438,Message Queue (MQ)
439,Database Backup
440,Server Backup
441,Project Management
442,Container Orchestration
443,Online Marketplace Optimization Tools
444,E-Commerce Data Integration
445,Multichannel Retail
446,Disaster Recovery as a Service (DRaaS)
447,File Recovery
448,Endpoint Management
449,Mobile Data Security
450,Remote Monitoring \u0026 Management (RMM)
451,Hard Drive Cloning
452,Rack Servers
453,Cloud Content Collaboration
454,Data Center Infrastructure Management (DCIM)
455,Push-To-Talk (PTT)
456,Other Marketing
457,Network Traffic Analysis (NTA)
458,Network Management Tools
459,Client Portal
460,IoT Development Tools
461,Sales Engagement
462,Lead Intelligence
463,Data as a Service (DaaS)
464,Security Compliance
465,Cloud Security Posture Management (CSPM)
466,Cloud Compliance
467,AI Writing Assistant
468,Farm Management
469,Business Intelligence (BI) Consulting
470,Mentoring
471,Medical Practice Management
472,Veterinary Practice Management
473,Catalog Management
474,Tag Management Systems
475,Lead Retrieval
476,Taxi \u0026 Limousine
477,Travel Agency
478,Aviation MRO
479,Digital Forensics
480,User and Entity Behavior Analytics (UEBA)
481,Repository Management
482,Google Workspace Creative Tools
483,Website Builder
484,Volunteer Management
485,Grant Management
486,Nonprofit Accounting
487,Ad Network
488,Service Mesh Tools
489,Process Mining
490,Data Center Infrastructure
491,Amazon Web Services Channel Partners
492,Location-Based Marketing
493,Reference Management
494,Parking Management
495,Retail POS
496,Seed to Sale Software
497,Cookie Tracking
498,Colocation Hosting
499,Dedicated Hosting
500,Cloud Hosting
501,URL Shortener
502,Affiliate Marketing
503,Partner Ecosystem Platforms
504,Data-Centric Security
505,Other Privacy
506,Mobile Application Management
507,Unified Endpoint Management (UEM)
508,Website Security
509,Construction ERP
510,Event Registration \u0026 Ticketing
511,Event Planning
512,Healthcare Analytics
513,Public Transportation
514,Promotional Product Management
515,Direct Mail Automation
516,Marketing Resource Management
517,Print Management
518,3D Parts Catalog
519,Pay Equity
520,Object Storage Solutions
521,Block Storage
522,Cloud File Storage
523,Email Encryption
524,Encryption
525,Database Security
526,Embedded Business Intelligence
527,Web Application Firewall (WAF)
528,File Transfer Protocol (FTP)
529,Managed File Transfer (MFT)
530,Car Dealer
531,Budgeting and Forecasting
532,Observability Solution Suites
533,Server Monitoring
534,Log Monitoring
535,Website Monitoring
536,Network Monitoring
537,Global Trade Management
538,Subscription Analytics
539,Mobile App Analytics
540,Subscription Revenue Management
541,Reference Check
542,Talent Assessment
543,ServiceNow Store Apps
544,Fraud Detection
545,E-commerce Fraud Protection
546,Bot Detection and Mitigation
547,Construction Project Management
548,Construction CRM
549,Bid Management
550,Construction Accounting
551,Construction Data Analytics
552,Construction Estimating
553,Jobsite Management
554,Other Process Automation
555,Conversation Intelligence
556,Sales Coaching
557,Virtual Private Servers (VPS)
558,Talent Marketplace Platforms
559,Lead Mining
560,Account Data Management
561,Marketing Account Intelligence
562,Catering
563,Feedback Analytics
564,Project and Portfolio Management
565,Resource Management
566,Anaplan Partners
567,Robotic Process Automation (RPA) Consultancy Services
568,IBM Security VARs
569,IBM Server VARs
570,Oracle Database Resellers
571,Oracle Siebel Resellers
572,Oracle Primavera Resellers
573,Oracle Hyperion Resellers
574,Oracle Fusion Applications Resellers
575,Oracle PeopleSoft Resellers
576,Oracle JD Edwards EnterpriseOne Resellers
577,Oracle E-Business Suite Resellers
578,Oracle Cloud Application Resellers
579,Pegasystems Consulting
580,Other Implementation Services
581,Cloud Consulting
582,Business VPN
583,Zero Trust Networking
584,Market Research Services
585,Data Loss Prevention (DLP)
586,PC Backup
587,SaaS Backup
588,Auto Scaling
589,Cloud Migration Assessment Tools
590,Cloud Cost Management
591,Diagramming
592,Collaborative Whiteboard
593,Visual Collaboration Platforms
594,Data Replication
595,Disaster Recovery
596,App Store Optimization
597,Mobile Marketing
598,Gamification
599,Contact Center Workforce
600,Contact Center Quality Assurance
601,Intelligent Virtual Assistants
602,Application Shielding
603,Runtime Application Self-Protection (RASP)
604,OCR
605,Intelligent Document Processing (IDP)
606,Event Stream Processing
607,Other IoT
608,Email Deliverability
609,Email Template Builder
610,Endpoint Detection \u0026 Response (EDR)
611,Extended Detection and Response (XDR) Platforms
612,Incident Response
613,Antivirus
614,Endpoint Protection Suites
615,Endpoint Protection Platforms
616,Network Sandboxing
617,Hyperconverged Infrastructure (HCI) Solutions
618,Other Web Frameworks
619,Insurance Analytics
620,Connected Worker Platform
621,SAP Store
622,Store Locator
623,Digital Transformation Consulting
624,Inventory Control
625,Data Destruction
626,Market Intelligence
627,Other HR
628,Technical Skills Development
629,Capital Project Management
630,Facility Management
631,Document Scanning
632,Other Health Care Operations
633,Contract Lifecycle Management (CLM)
634,Supplier Relationship Management (SRM)
635,Content Analytics
636,Digital Advertising Intelligence
637,Enterprise Legal Management (ELM)
638,Remote Desktop
639,Conversational Marketing
640,eDiscovery
641,Auto Repair
642,Data Visualization Libraries
643,Python Web Frameworks
644,Machine Learning
645,Emergency Notification
646,Proactive Notification
647,Communication Platform as a Service
648,Managed Hosting
649,Backup Solution Suites
650,Container Management
651,Spreadsheets
652,E-Commerce Tools
653,Other Sales
654,Accounts Payable (AP) and Spend Analysis
655,Spend Management
656,Purchasing
657,Procure to Pay
658,Strategic Sourcing
659,Visitor Identification
660,Financial Data APIs
661,Graph Databases
662,Skills Management
663,Career Management
664,API Design
665,Document Generation
666,IoT Implementation Services
667,IoT Consulting Services
668,Software Developer Services
669,Data Governance Services
670,Artificial Intelligence Consulting
671,Supply Chain Strategy and Operations Consulting
672,Testing and QA
673,IT Strategy Consulting
674,Candidate Relationship Management
675,Data Center Networking
676,Regulatory Change Management
677,WordPress Hosting
678,MLOps Platforms
679,Electronic Data Capture (EDC)
680,Database Comparison
681,Predictive Maintenance
682,Terminal Emulator
683,Expense Management
684,Mileage Tracking
685,Sales Analytics
686,Data Preparation
687,Cloud Edge Security
688,Cloud Access Security Broker (CASB)
689,Secure Web Gateways
690,SaaS Security Posture Management (SSPM) Solutions
691,Real Estate CRM
692,User Research
693,Credit and Collections
694,M\u0026A Software
695,Financial Research
696,Data Labeling
697,Active Learning Tools
698,Image Recognition
699,Identity Verification
700,Biometric Authentication
701,Age Verification
702,Social Media Listening Tools
703,Brand Intelligence
704,Media Monitoring
705,Identity Resolution
706,Product Data Management (PDM)
707,Engineering Document Management
708,Other Social Media
709,Tools for ERP
710,CAD Viewers
711,Hatchbuck Agency Partners
712,Listrak Consulting
713,Security Information and Event Management (SIEM)
714,Managed Security Services (MSSP)
715,Network Security Policy Management (NSPM)
716,Software-Defined Perimeter (SDP)
717,Procore App Marketplace Partners
718,Business Process Management (BPM) Services
719,UKG Consulting
720,Twilio Consulting
721,IT Infrastructure Utility Services
722,Ruby on Rails Developers
723,iOS Developers
724,Cross-Platform Developers
725,IT Infrastructure Consulting
726,Account-Based Web and Content Experiences
727,Account-Based Advertising
728,Account-Based Orchestration Platforms
729,Account-Based Analytics
730,Sales Enablement
731,Recruitment Marketing Agencies
732,Email Tracking
733,Desk Booking
734,Digital Wayfinding
735,Space Management
736,No-Code Development Platforms
737,Autodesk Construction Cloud Integration Partners
738,Sage Intacct Channel Partners
739,Restaurant POS
740,Retail Management Software
741,Intrusion Detection and Prevention Systems (IDPS)
742,Firewall Software
743,Other Finance \u0026 Insurance
744,Cybersecurity Consulting
745,Virtual Data Room
746,Spa and Salon Management
747,Hotel Management
748,Cloud Migration
749,Email Backup
750,Service Discovery
751,Data Center Security Solutions
752,Asset Tracking
753,AI Chatbots
754,Inspection Management
755,Online Form Builder
756,Sales Acceleration Platforms
757,Email Verification
758,Outbound Call Tracking
759,Lease Administration
760,Property Management
761,Community Association Management
762,Lab Inventory Management
763,A/B Testing
764,User-Generated Content
765,Social Commerce Platforms
766,E-Commerce Search
767,Other Product Suites
768,Sales Gamification
769,Content Creation
770,Plagiarism Checker
771,Risk-Based Vulnerability Management
772,Database DevOps Software
773,SQL Integrated Development Environments (IDE)
774,Electronic Data Interchange (EDI)
775,Enterprise Service Bus (ESB)
776,Financial Analysis
777,Vulnerability Scanner
778,Exposure Management Platforms
779,Attack Surface Management
780,Donor Prospect Research
781,Task Management
782,Threat Intelligence
783,Earned Value Management
784,Project Collaboration
785,Event Management Platforms
786,Mobile Event Apps
787,Event Networking and Matchmaking
788,Bookmark Manager
789,Customer Success Training
790,Payroll
791,Human Services
792,DataOps Platforms
793,Data Observability
794,Web Server Accelerator
795,Loyalty Management
796,Warranty Management
797,Digital Learning Platforms
798,Assessment
799,Other Finance \u0026 Admin.
800,Active Metadata Management
801,Patient Intake
802,Patient Engagement
803,Disease Management
804,Proactive Customer Retention
805,Decision Management Platforms
806,AI Meeting Assistants
807,Vector Graphics
808,Other Non-Relational Databases
809,Onboarding
810,Corporate Wellness
811,Hardware Monitoring
812,Rebate Management
813,Data Exchange Platforms
814,Blockchain as a Service
815,Connected Car
816,Systems Engineering And MBSE
817,Enterprise Payment
818,Occupational Health and Safety (OHS)
819,Travel \u0026 Expense Management
820,Travel Management
821,Digital Adoption Platform
822,Sales \u0026 Ops Planning
823,Supply Chain Planning
824,Supply Chain Cost-To-Serve Analytics
825,Supply Chain Suites
826,Genesys AppFoundry Marketplace
827,Secure Access Service Edge (SASE) Platforms
828,Product Analytics
829,Auction
830,Insider Threat Management (ITM)
831,Business Continuity Management
832,Third Party \u0026 Supplier Risk Management
833,Operational Risk Management
834,Cloud-Native Application Protection Platform (CNAPP)
835,API Security
836,Cloud Security Monitoring and Analytics
837,Container Security
838,Cloud Detection and Response (CDR)
839,Key Value Databases
840,Admission-Based Nonprofit
841,UAV
842,Desktop as a Service (DaaS)
843,K-12 Student Information Systems
844,Integration Brokerage
845,Data Extraction Services
846,IT Risk Management
847,Whistleblowing
848,Employee Intranet
849,AI Content Detectors
850,Computer-Aided Manufacturing (CAM)
851,Revenue Cycle Management
852,Healthcare Claims Management
853,Medical Billing
854,EHR
855,Voice Recognition
856,Financial Predictive Analytics
857,Privacy Policy Generator
858,Vendor Security and Privacy Assessment
859,Revenue Operations \u0026 Intelligence (RO\u0026I)
860,Attribution
861,Operating System
862,Virtual Workspaces
863,Customer Service Automation
864,Email
865,Pricing
866,Retail Pricing
867,Workflow Management
868,Productivity Bots
869,Single Sign-On (SSO)
870,Disclosure Management
871,"Environmental, Social, and Governance (ESG) Reporting"
872,Real Estate Marketing
873,HR Compliance
874,Time \u0026 Attendance
875,Ride Sharing
876,Visitor Management
877,Hybrid Enablement
878,Content Experience Platforms
879,Landing Page Builders
880,Construction Drawing Management
881,Airline Reservations
882,Financial Audit
883,WAN Optimization
884,Local SEO
885,Online Reputation Management
886,Social Media Management
887,Multi-Location Marketing Platforms
888,Stock Photos
889,Contract Analytics
890,Demo Automation
891,Event Marketing
892,Influencer Marketing Platforms
893,Barcode
894,Media and Influencer Targeting
895,PR Analytics
896,Partner Management
897,Channel Incentives Management (CIM) 
898,Data Management Suites
899,Retail Intelligence
900,"Security Orchestration, Automation, and Response (SOAR)"
901,Multi-Factor Authentication (MFA)
902,Object-Oriented Databases
903,Structured Data Archiving and Application Retirement
904,Unified Workspaces
905,Environmental Health and Safety
906,Other Event Management
907,Telecom Expense Management (TEM) Services
908,Order Management
909,Wireless Expense Management (WEM)
910,Standard Operating Procedures
911,Medical QMS
912,Quality Management (QMS)
913,Live Commerce
914,Push Notification
915,Customer Communications Management
916,Unified APIs
917,Embedded Integration Platforms
918,Workforce Planning
919,Org Chart
920,IP Address Intelligence
921,Application Development Platforms
922,Content Distribution
923,Owned Media
924,Fleet Tracking
925,Transcription
926,Penetration Testing Services
927,HR Case Management
928,Admissions and Enrollment Management
929,Camp Management
930,Tour Operator
931,Lead-to-Account Matching and Routing
932,Document Management
933,Special Education
934,Learning Management System (LMS)
935,Multiple Listing Service (MLS)
936,Supervisory Control and Data Acquisition (SCADA)
937,Succession Planning
938,Native Advertising
939,Drug Testing
940,SEO Services
941,PPC Services
942,IoT Analytics Platforms
943,Bookkeeping Services
944,Tax Services
945,Accounting Firms
946,Auditing Services
947,Data Privacy Services
948,IT Resilience Orchestration Automation (ITRO)
949,Political Campaign
950,Other Hospitality
951,Other IT Infrastructure
952,Pop-Up Builder
953,Password Manager
954,Email Anti-spam
955,Browser
956,Proofreading
957,Manufacturing Intelligence
958,Virtual Mailbox
959,Guest Wi-Fi Providers
960,Mortgage Point of Sale (POS)
961,Enterprise Performance Management (EPM) Consultants
962,Penetration Testing
963,Email Management
964,Shared Inbox
965,Email Client
966,Employee Communications
967,Intelligent Email Protection
968,Cloud Email Security
969,Field Sales
970,Data Mapping
971,Simulation \u0026 CAE
972,Subscription Billing
973,Hotel Revenue Management Systems (RMS)
974,Channel Management
975,Dental Practice Management
976,Gaming Tools
977,Android Developers
978,Windows Developers
979,Internet of Things (IoT) Developers
980,.NET Developers
981,JavaScript Developers
982,Java Development
983,Node.js Developers
984,Sitecore Developers
985,PHP Developers
986,Contact Center Consulting
987,Sustainability Management
988,Other Laboratory
989,Value-Based Performance Management Analytics
990,Legal Case Management
991,Other Reservations
992,3D Rendering
993,Evidence Management
994,Photo Editing
995,Photogrammetry
996,Retail Assortment Planning
997,Other Office
998,Church Management
999,Strategy and Innovation Roadmapping Tools
1000,Product Management
1001,API Management
1002,Mobile App Optimization
1003,Computer-Assisted Translation
1004,Software Localization Tools
1005,Business Process Simulation
1006,Digital Twin
1007,Customer Education
1008,eLearning Content
1009,Online Course Providers
1010,Microlearning Platforms
1011,Other Cloud Integration
1012,Creative Management Platforms
1013,Objectives and Key Results (OKR)
1014,Browser Isolation
1015,Customer Journey Mapping
1016,Wide Column Database
1017,IoT Security Solutions
1018,OT Secure Remote Access
1019,Public Works
1020,Prototyping
1021,Revenue Management
1022,Marketing Platforms
1023,Background Check
1024,DMARC
1025,Email Testing
1026,Job Description Management
1027,Payment Analytics
1028,Heatmap Tools
1029,Clinical Trial Management Systems
1030,Session Replay
1031,Cloud Data Integration
1032,Managed Print Services
1033,Other Microsoft Resellers
1034,Other Cisco Resellers
1035,Cisco Unified Communications Resellers
1036,Cisco Data Center Resellers
1037,Cisco Cloud Resellers
1038,API Platforms
1039,Retail Space Planning
1040,Trade Promotion Management
1041,Retail Task Management
1042,Speech Analytics
1043,Proxy Network
1044,Pharmacy Management Systems
1045,Pharmacy POS Systems
1046,Hybrid Cloud Storage Solutions
1047,Punch List
1048,Customer Revenue Optimization
1049,Other Lead Generation
1050,Container Registry
1051,Tool Tracking
1052,Network Automation Tools
1053,SD-WAN
1054,3D Modeling
1055,Microsoft Dynamics 365 Business Central Resellers
1056,Microsoft Dynamics NAV Resellers
1057,Other Email
1058,Classroom Management
1059,AR Visualization
1060,Strategic Planning and Execution
1061,Dark Web Monitoring
1062,Investigation Management
1063,Runtime
1064,Encryption Key Management
1065,Digital Process Automation (DPA)
1066,Auto Dialer
1067,Consumer Video Feedback
1068,Social Media Suites
1069,Technology Scouting
1070,Team Building
1071,Drag and Drop App Builder
1072,Geofencing
1073,Mobile Backend-as-a-Service (mBaaS)
1074,Inbound Call Tracking
1075,Legal Hold
1076,Business Activity Monitoring
1077,Secrets Management Tools
1078,Investment Portfolio Management
1079,Population Health Management
1080,Last Mile Delivery
1081,Malware Analysis Tools
1082,Other IT Management
1083,Restaurant Delivery/Takeout
1084,Legal Document Drafting
1085,Natural Language Generation (NLG)
1086,Secure Email Gateway
1087,Network Attached Storage (NAS)
1088,Value Stream Management
1089,Sage Fixed Assets Resellers
1090,Sage 500 Resellers
1091,Sage 100 Resellers
1092,Disinformation Detection Tools
1093,Employee Identity Theft Protection
1094,Omnichannel Commerce
1095,Retail Distributed Order Management Systems
1096,Big Data
1097,Digital Signage
1098,Software Asset Management Tools
1099,MEP
1100,Emergency Medical Services
1101,Lead Scoring
1102,Enterprise App Store
1103,Construction Risk Assessment Software
1104,Generative AI Infrastructure
1105,Peer Code Review
1106,Entity Management
1107,Salesforce CRM Document Generation
1108,Cloud Infrastructure Entitlement Management (CIEM)
1109,Box Office
1110,Multi-Country Payroll
1111,PEO Providers
1112,Version Control Clients
1113,Version Control Hosting
1114,Version Control Software
1115,Dynamic Application Security Testing (DAST)
1116,Interactive Application Security Testing (IAST)
1117,OTT Platforms
1118,Loan Origination
1119,Loan Servicing
1120,Loan Pricing
1121,Decentralized Identity
1122,QR Code Generator
1123,SaaS Spend Management
1124,Game Engine
1125,Assisted Living
1126,Other Agriculture
1127,Other Security Services
1128,Print On Demand
1129,Label Printing
1130,Print Fulfillment Services
1131,Business Music
1132,Project Management Tools
1133,Postal Presort
1134,Marketo LaunchPoint Apps
1135,Other Customer Service
1136,Returns Management
1137,Web Data Providers
1138,Immigration
1139,Legal Practice Management
1140,Legal Billing
1141,E-Filing
1142,Conflict Check
1143,Accounting Practice Management
1144,Public Affairs and Advocacy
1145,Other SAP Resellers
1146,NetSuite Resellers
1147,FinancialForce Consulting
1148,DevOps Platforms
1149,Build Automation
1150,Application Portfolio Management
1151,Enterprise Architecture Tools
1152,Server Virtualization
1153,Managed Detection and Response (MDR)
1154,Desktop Search
1155,Display Ad Design
1156,Converged Infrastructure
1157,Archive Storage Solutions
1158,Audio Editing
1159,Other Design
1160,Application Server
1161,Identity Threat Detection and Response (ITDR)
1162,Job Board
1163,Blogger Outreach
1164,Columnar Databases
1165,Cloud Infrastructure Automation
1166,Unified Threat Management (UTM)
1167,Storage Servers
1168,Tower Servers
1169,HR Service Delivery
1170,Natural Language Understanding (NLU)
1171,Nonprofit Payment Gateway
1172,Digital Audio Advertising
1173,Security Awareness Training
1174,Academic Advising
1175,VR SDK
1176,Java Web Frameworks
1177,Virtual Routers
1178,Utilization Management
1179,Variable Data Printing (VDP)
1180,Payments Orchestration
1181,Account-Based Data
1182,Quote-to-Cash
1183,Proposal
1184,CPQ
1185,Food Safety Management
1186,Smart Cities
1187,Fleet Maintenance
1188,Calibration
1189,Asset Leasing
1190,Oil and Gas Asset Management
1191,Oil and Gas Back Office
1192,Warehouse Management
1193,Optometry
1194,RDF Databases
1195,School Management
1196,Education ERP Suites
1197,Insurance Claims Management
1198,Vineyard Management
1199,Mobile Development Platforms
1200,Oil Production
1201,Yard Management
